#  aims_uuid : 222F905C-D19D-4B41-A54F-3F46AF5E1A00                                
# Angular momentum resolved density for species Sbas calculated by FHI-aims
# The energy reference for this output is the vacuum level 
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -23.91589159        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.91189119        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.90789079        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.90389039        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.89988999        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.89588959        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.89188919        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.88788879        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.88388839        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.87988799        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.87588759        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.87188719        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.86788679        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.86388639        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.85988599        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.85588559        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.85188519        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.84788479        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.84388439        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.83988399        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.83588359        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.83188319        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.82788279        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.82388239        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.81988199        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.81588159        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.81188119        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.80788079        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.80388039        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.79987999        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.79587959        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.79187919        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.78787879        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.78387839        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.77987799        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.77587759        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.77187719        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.76787679        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.76387639        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.75987599        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.75587559        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.75187519        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.74787479        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.74387439        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.73987399        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.73587359        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.73187319        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.72787279        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.72387239        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.71987199        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.71587159        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.71187119        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.70787079        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.70387039        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.69986999        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.69586959        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.69186919        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.68786879        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.68386839        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.67986799        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.67586759        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.67186719        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.66786679        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.66386639        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.65986599        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.65586559        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.65186519        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.64786479        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.64386439        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.63986399        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.63586359        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.63186319        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.62786279        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.62386239        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.61986199        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.61586159        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.61186119        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.60786079        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.60386039        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.59985999        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.59585959        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.59185919        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.58785879        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -23.58385839        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
