#  aims_uuid : 222F905C-D19D-4B41-A54F-3F46AF5E1A00                                
# Angular momentum resolved density for species Sbas calculated by FHI-aims
# The energy reference for this output is the chemical potential, mu =       -4.780076 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
      -19.81588390        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.81188350        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.80788310        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.80388270        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.79988230        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.79588190        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.79188150        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.78788110        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.78388070        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.77988030        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.77587990        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.77187950        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.76787910        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.76387870        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.75987830        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.75587790        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.75187750        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.74787710        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.74387670        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.73987630        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.73587590        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.73187550        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.72787510        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.72387470        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.71987430        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.71587390        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.71187350        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.70787310        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.70387270        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.69987230        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.69587190        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.69187150        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.68787110        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.68387070        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.67987030        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.67586990        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.67186950        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
      -19.66786910        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
